,SOFT 13,SOFT 15,SOFT 10,SOFT 12,SOFT 6,SOFT 4,SOFT 4,SOFT 0,MEDIUM 19,MEDIUM 0,MEDIUM 0,HARD 0,HARD 0
48,93032.76889214967,93345.51755581176,92563.64589665654,92876.39456031863,91938.14856933235,91625.39990567026,91625.39990567026,90999.90257834608,88046.9206932773,86975.28876050419,86975.28876050419,87876.23076923077,87876.23076923077
49,93189.14322398072,93501.8918876428,92720.02022848758,93032.76889214967,92094.52290116341,91781.7742375013,91781.7742375013,91156.27691017713,88103.32237394957,87031.69044117647,87031.69044117647,87925.12637362636,87925.12637362636
50,93345.51755581176,93658.26621947385,92876.39456031863,93189.14322398072,92250.89723299444,91938.14856933235,91938.14856933235,91312.65124200817,88159.72405462184,87088.09212184872,87088.09212184872,87974.02197802198,87974.02197802198
51,93501.8918876428,93814.6405513049,93032.76889214967,93345.51755581176,92407.2715648255,92094.52290116341,92094.52290116341,91469.02557383922,88216.1257352941,87144.493802521,87144.493802521,88022.91758241758,88022.91758241758
52,93658.26621947385,93971.01488313594,93189.14322398072,93501.8918876428,92563.64589665654,92250.89723299444,92250.89723299444,91625.39990567026,88272.52741596638,87200.89548319328,87200.89548319328,88071.81318681319,88071.81318681319
53,93814.6405513049,94127.38921496698,93345.51755581176,93658.26621947385,92720.02022848758,92407.2715648255,92407.2715648255,91781.7742375013,88328.92909663865,87257.29716386553,87257.29716386553,88120.70879120879,88120.70879120879
54,93971.01488313594,94283.76354679803,93501.8918876428,93814.6405513049,92876.39456031863,92563.64589665654,92563.64589665654,91938.14856933235,88385.33077731091,87313.69884453781,87313.69884453781,88169.60439560439,88169.60439560439
55,94127.38921496698,94440.13787862907,93658.26621947385,93971.01488313594,93032.76889214967,92720.02022848758,92720.02022848758,92094.52290116341,88441.73245798319,87370.10052521009,87370.10052521009,88218.5,88218.5
56,94283.76354679803,94596.51221046012,93814.6405513049,94127.38921496698,93189.14322398072,92876.39456031863,92876.39456031863,92250.89723299444,88498.13413865544,87426.50220588234,87426.50220588234,88267.3956043956,88267.3956043956
57,94440.13787862907,94752.88654229116,93971.01488313594,94283.76354679803,93345.51755581176,93032.76889214967,93032.76889214967,92407.2715648255,88554.53581932772,87482.90388655462,87482.90388655462,88316.29120879121,88316.29120879121
58,94596.51221046012,94909.2608741222,94127.38921496698,94440.13787862907,93501.8918876428,93189.14322398072,93189.14322398072,92563.64589665654,88610.9375,87539.30556722688,87539.30556722688,88365.18681318681,88365.18681318681
59,94752.88654229116,95065.63520595325,94283.76354679803,94596.51221046012,93658.26621947385,93345.51755581176,93345.51755581176,92720.02022848758,88667.33918067226,87595.70724789915,87595.70724789915,88414.08241758241,88414.08241758241
60,94909.2608741222,95222.0095377843,94440.13787862907,94752.88654229116,93814.6405513049,93501.8918876428,93501.8918876428,92876.39456031863,88723.74086134453,87652.10892857143,87652.10892857143,88462.97802197802,88462.97802197802
61,95065.63520595325,95378.38386961534,94596.51221046012,94909.2608741222,93971.01488313594,93658.26621947385,93658.26621947385,93032.76889214967,88780.1425420168,87708.51060924369,87708.51060924369,88511.87362637362,88511.87362637362
62,95222.0095377843,95534.75820144638,94752.88654229116,95065.63520595325,94127.38921496698,93814.6405513049,93814.6405513049,93189.14322398072,88836.54422268906,87764.91228991596,87764.91228991596,88560.76923076923,88560.76923076923
63,95378.38386961534,95691.13253327744,94909.2608741222,95222.0095377843,94283.76354679803,93971.01488313594,93971.01488313594,93345.51755581176,88892.94590336134,87821.31397058823,87821.31397058823,88609.66483516483,88609.66483516483
64,95534.75820144638,95847.50686510847,95065.63520595325,95378.38386961534,94440.13787862907,94127.38921496698,94127.38921496698,93501.8918876428,88949.3475840336,87877.71565126049,87877.71565126049,88658.56043956043,88658.56043956043
65,95691.13253327744,96003.88119693953,95222.0095377843,95534.75820144638,94596.51221046012,94283.76354679803,94283.76354679803,93658.26621947385,89005.74926470587,87934.11733193276,87934.11733193276,88707.45604395604,88707.45604395604
66,95847.50686510847,96160.25552877058,95378.38386961534,95691.13253327744,94752.88654229116,94440.13787862907,94440.13787862907,93814.6405513049,89062.15094537815,87990.51901260504,87990.51901260504,88756.35164835164,88756.35164835164
67,96003.88119693953,96316.62986060162,95534.75820144638,95847.50686510847,94909.2608741222,94596.51221046012,94596.51221046012,93971.01488313594,89118.5526260504,88046.9206932773,88046.9206932773,88805.24725274724,88805.24725274724
68,96160.25552877058,96473.00419243267,95691.13253327744,96003.88119693953,95065.63520595325,94752.88654229116,94752.88654229116,94127.38921496698,89174.95430672268,88103.32237394957,88103.32237394957,88854.14285714286,88854.14285714286
69,96316.62986060162,96629.37852426371,95847.50686510847,96160.25552877058,95222.0095377843,94909.2608741222,94909.2608741222,94283.76354679803,89231.35598739496,88159.72405462184,88159.72405462184,88903.03846153845,88903.03846153845
